subjID	condition	taskOrder	firstTower	earlyTower	targetCause	scaleOrientation	sex	age	InstructionCheck_Attempts	totalTime	timeFinished
312	Ons-same_Delay-diff	DurFirst	FT-South	ET-North	Q-North	HC-L	female	20	1	371399	04.07.2018 19:18
298	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-L	male	40	99	1016969	04.07.2018 19:18
313	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-North	HC-R	female	27	1	363254	04.07.2018 19:20
311	Ons-same_Delay-diff	DurFirst	FT-South	ET-South	Q-South	HC-R	female	52	1	719096	04.07.2018 19:24
314	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-South	Q-North	HC-R	female	29	1	472554	04.07.2018 19:27
316	Ons-diff_Delay-same	DurFirst	FT-South	ET-North	Q-North	HC-L	female	18	1	408302	04.07.2018 19:36
317	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-L	female	24	1	439992	04.07.2018 19:36
315	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-North	Q-South	HC-R	male	24	1	668537	04.07.2018 19:40
238	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-South	Q-South	HC-L	male	40	3	2843480	04.07.2018 19:44
318	Ons-same_Delay-diff	DurFirst	FT-South	ET-South	Q-South	HC-R	male	19	1	466952	04.07.2018 19:55
319	Ons-same_Delay-diff	DurFirst	FT-South	ET-South	Q-North	HC-R	female	42	1	591733	04.07.2018 19:59
323	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-South	Q-South	HC-R	male	23	1	372272	05.07.2018 08:35
320	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-North	HC-R	female	33	1	436321	05.07.2018 08:35
328	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-South	HC-L	male	18	1	351824	05.07.2018 08:35
341	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-North	HC-L	male	43	99	280107	05.07.2018 08:36
321	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-R	female	34	1	527282	05.07.2018 08:37
335	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-North	Q-North	HC-L	male	28	1	379587	05.07.2018 08:37
340	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-North	HC-R	male	26	1	367302	05.07.2018 08:37
343	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-South	HC-L	female	35	1	356261	05.07.2018 08:37
334	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-South	Q-North	HC-R	female	36	1	429668	05.07.2018 08:38
331	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-North	Q-North	HC-R	female	35	1	495573	05.07.2018 08:38
333	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-North	Q-South	HC-R		41	1	469958	05.07.2018 08:38
326	Ons-same_Delay-diff	DurFirst	FT-South	ET-North	Q-South	HC-L	male	29	1	547766	05.07.2018 08:38
362	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-North	HC-L	male	28	1	284458	05.07.2018 08:38
357	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-South	Q-South	HC-L	male	44	1	324753	05.07.2018 08:38
327	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-North	HC-R	male	34	1	566879	05.07.2018 08:39
342	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-North	Q-North	HC-R	male	28	1	463047	05.07.2018 08:39
360	Ons-same_Delay-diff	DurFirst	FT-North	ET-North	Q-South	HC-L	male	26	1	361389	05.07.2018 08:40
366	Ons-diff_Delay-diff_A	OnsetFirst	FT-South	ET-South	Q-South	HC-L	female	19	2	341556	05.07.2018 08:40
348	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-North	HC-L	male	45	99	452742	05.07.2018 08:40
324	Ons-same_Delay-diff	DurFirst	FT-North	ET-North	Q-South	HC-R	female	50	1	671408	05.07.2018 08:40
367	Ons-diff_Delay-same	DurFirst	FT-South	ET-North	Q-North	HC-R	female	26	1	368490	05.07.2018 08:40
353	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-South	Q-South	HC-R	female	45	1	448947	05.07.2018 08:40
330	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-South	HC-L	male	62	1	634822	05.07.2018 08:40
371	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-North	HC-L	female	26	1	346601	05.07.2018 08:40
347	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-South	Q-North	HC-L	male	44	1	520719	05.07.2018 08:41
332	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-L	male	46	1	645781	05.07.2018 08:41
358	Ons-diff_Delay-same	DurFirst	FT-South	ET-North	Q-South	HC-R	female	58	1	470902	05.07.2018 08:41
373	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-South	HC-L	female	43	1	374796	05.07.2018 08:41
363	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-North	Q-South	HC-R	female	34	1	465617	05.07.2018 08:41
337	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-South	HC-L	female	23	2	657190	05.07.2018 08:42
369	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-South	HC-R	male	53	1	454431	05.07.2018 08:42
339	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-South	Q-North	HC-L		25	1	690778	05.07.2018 08:42
375	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-R	male	28	1	421852	05.07.2018 08:42
392	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-South	HC-R	female	35	1	345020	05.07.2018 08:42
336	Ons-diff_Delay-same	OnsetFirst	FT-South	ET-North	Q-South	HC-L	male	46	1	721988	05.07.2018 08:43
370	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-South	Q-South	HC-R	male	24	1	488476	05.07.2018 08:43
365	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-South	HC-L	male	47	1	541246	05.07.2018 08:43
361	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-North	HC-L	male	40	1	560131	05.07.2018 08:43
329	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-North	HC-R	female	28	1	809729	05.07.2018 08:43
372	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-R	male	20	1	510709	05.07.2018 08:43
346	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-North	HC-R	male	29	1	723858	05.07.2018 08:43
385	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-North	HC-R	male	23	1	479187	05.07.2018 08:44
374	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-North	Q-South	HC-L	male	25	1	540703	05.07.2018 08:44
387	Ons-same_Delay-diff	DurFirst	FT-North	ET-North	Q-North	HC-R	female	38	1	464207	05.07.2018 08:44
391	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-North	Q-North	HC-L	female	24	1	453784	05.07.2018 08:44
393	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-North	HC-R	male	27	1	411007	05.07.2018 08:44
350	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-North	Q-North	HC-L	male	37	1	739741	05.07.2018 08:45
352	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-South	HC-R	male	43	1	719645	05.07.2018 08:45
380	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-North	Q-North	HC-R	female	34	1	552064	05.07.2018 08:45
386	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-South	HC-L	male	24	1	519082	05.07.2018 08:45
338	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-North	HC-R	male	28	1	863859	05.07.2018 08:45
402	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-South	HC-R	male	25	1	338110	05.07.2018 08:45
382	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-North	Q-South	HC-R	male	41	1	574652	05.07.2018 08:45
395	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-North	HC-L	male	48	1	451878	05.07.2018 08:45
359	Ons-same_Delay-diff	DurFirst	FT-South	ET-South	Q-North	HC-L	female	31	1	728661	05.07.2018 08:45
376	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-North	Q-North	HC-R	female	55	1	627239	05.07.2018 08:46
389	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-South	HC-L	female	53	1	558317	05.07.2018 08:46
406	Ons-same_Delay-diff	DurFirst	FT-South	ET-North	Q-North	HC-L	male	34	1	326736	05.07.2018 08:46
356	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-South	HC-L	female	30	1	780259	05.07.2018 08:46
381	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-South	Q-South	HC-L	female	34	1	614858	05.07.2018 08:46
394	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-North	HC-L	male	19	1	493714	05.07.2018 08:46
390	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-North	HC-L	male	29	1	571749	05.07.2018 08:46
397	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-South	HC-R	male	45	99	470175	05.07.2018 08:46
398	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-South	Q-North	HC-R	female	27	1	461177	05.07.2018 08:46
